,date,boundsId,weight,quantity
242,2019-05-27 02:00:00,584,450.0,
243,2018-05-13 02:00:00,584,0.0,
244,2018-05-13 02:00:00,584,15.0,
245,2017-12-02 01:00:00,585,,
246,2017-10-06 02:00:00,588,400.0,
247,2017-06-24 02:00:00,588,,
248,2017-10-31 01:00:00,588,,
249,2017-05-05 02:00:00,589,2760.0,
250,2018-05-13 02:00:00,589,0.0,
251,2017-10-07 02:00:00,590,350.0,
252,2019-10-31 01:00:00,594,2300.0,
253,2018-08-26 02:00:00,598,880.0,
254,2017-12-31 01:00:00,598,,
255,2018-05-04 02:00:00,599,100.0,
256,2020-05-03 02:00:00,601,40.0,
257,2020-04-25 02:00:00,601,60.0,
258,2018-04-15 02:00:00,601,45.0,
259,2018-05-13 02:00:00,601,60.0,
260,2019-10-26 02:00:00,601,50.0,
261,2018-07-01 02:00:00,601,500.0,
262,2019-04-13 02:00:00,601,20.0,
263,2019-04-14 02:00:00,601,60.0,
264,2019-04-14 02:00:00,601,75.0,
265,2019-08-18 02:00:00,601,225.0,
266,2019-10-14 02:00:00,601,30.0,
267,2018-05-05 02:00:00,601,,
268,2017-05-05 02:00:00,602,,
269,2018-01-27 01:00:00,602,80.0,
270,2019-04-02 02:00:00,602,150.0,
271,2019-03-30 01:00:00,602,100.0,
272,2017-02-15 01:00:00,611,150.0,
273,2017-05-06 02:00:00,611,400.0,
274,2018-04-13 02:00:00,611,855.0,
275,2018-05-05 02:00:00,611,5000.0,
276,2019-05-03 02:00:00,611,500.0,
277,2019-09-28 02:00:00,611,1600.0,
278,2018-04-29 02:00:00,611,40.0,
279,2020-06-30 02:00:00,612,670.0,
280,2016-05-07 02:00:00,612,0.0,
281,2019-06-30 02:00:00,612,3300.0,
282,2019-05-04 02:00:00,612,,
283,2020-05-31 02:00:00,613,660.0,
284,2017-05-10 02:00:00,614,,
285,2018-06-10 02:00:00,614,,
286,2019-03-21 01:00:00,614,759.0,
287,2019-04-10 02:00:00,614,1000.0,
288,2019-05-02 02:00:00,614,700.0,
289,2019-11-08 01:00:00,614,1100.0,
290,2020-05-31 02:00:00,614,800.0,
291,2018-05-13 02:00:00,614,0.0,
292,2020-02-10 01:00:00,614,90.0,
293,2017-02-19 01:00:00,615,150.0,
294,2017-11-26 01:00:00,615,,
295,2019-04-25 02:00:00,616,400.0,
296,2019-07-12 02:00:00,616,1500.0,
297,2018-05-13 02:00:00,616,,
298,2018-05-03 02:00:00,616,37.0,
299,2018-04-15 02:00:00,617,3150.0,
300,2020-03-31 02:00:00,618,,
301,2019-08-29 02:00:00,618,8000.0,
302,2018-05-13 02:00:00,623,0.0,
303,2020-06-05 02:00:00,639,400.0,
304,2018-06-08 02:00:00,639,1520.0,
305,2019-10-13 02:00:00,639,15.0,
306,2019-06-14 02:00:00,639,400.0,
307,2017-11-04 01:00:00,649,,
308,2017-12-17 01:00:00,649,,
309,2017-05-13 02:00:00,670,,
310,2018-05-05 02:00:00,670,200.0,
311,2019-05-05 02:00:00,670,50.0,
312,2018-05-05 02:00:00,679,,
313,2020-06-04 02:00:00,680,320.0,
314,2017-10-05 02:00:00,680,,
315,2017-11-25 01:00:00,680,,
316,2019-04-27 02:00:00,680,1550.0,
317,2019-05-11 02:00:00,680,930.0,
318,2018-10-14 02:00:00,683,2200.0,
319,2019-08-31 02:00:00,684,60.0,
320,2019-05-22 02:00:00,684,3160.0,
321,2019-09-30 02:00:00,685,630.0,
322,2019-10-05 02:00:00,685,850.0,
323,2020-06-14 02:00:00,686,120.0,
324,2019-09-30 02:00:00,686,1200.0,
325,2020-06-13 02:00:00,687,60.0,
326,2018-05-03 02:00:00,687,,
327,2018-05-13 02:00:00,687,,
328,2018-05-05 02:00:00,702,150.0,
329,2019-10-26 02:00:00,706,1850.0,
330,2017-10-22 02:00:00,707,,
331,2019-04-06 02:00:00,707,1760.0,
332,2018-05-02 02:00:00,707,30.0,
333,2016-05-07 02:00:00,708,75.0,
334,2018-04-15 02:00:00,711,,
335,2019-09-15 02:00:00,711,1500.0,
336,2020-11-11 21:15:00,712,4200.0,
337,2020-03-15 01:00:00,712,2000.0,
338,2020-03-07 01:00:00,712,1600.0,
339,2019-05-16 02:00:00,712,,
340,2019-04-30 02:00:00,712,,
341,2019-04-29 02:00:00,712,250.0,
342,2020-08-26 02:00:00,715,800.0,
343,2017-04-22 02:00:00,715,2500.0,
344,2019-10-31 01:00:00,715,2000.0,
